timestamp,duration,presses,clicks,deltaX,deltaY,scrollX,scrollY
2026-06-09 17:29:05.004000+00:00,0:01:15.000056,0,0,0,0,0,0
2026-06-09 17:29:00.004000+00:00,0:00:05.000084,0,0,2,2,0,10
2026-06-09 17:28:55.004000+00:00,0:00:04.999923,0,1,559,178,0,13
2026-06-09 17:28:50.004000+00:00,0:00:05,0,0,971,332,0,0
2026-06-09 17:24:05.004000+00:00,0:04:45.000010,0,0,0,0,0,0
2026-06-09 17:24:00.004000+00:00,0:00:05.000036,0,0,1,2,0,7
2026-06-09 17:23:55.004000+00:00,0:00:05.000036,0,1,1951,832,0,17
2026-06-09 17:23:50.004000+00:00,0:00:04.999943,1,1,1900,1191,0,0
2026-06-09 17:23:45.004000+00:00,0:00:05.000059,0,1,1897,1099,0,0
2026-06-09 17:21:55.004000+00:00,0:01:49.999704,0,0,0,0,0,0
2026-06-09 17:21:50.004000+00:00,0:00:04.999982,0,2,883,153,0,0
2026-06-09 17:21:45.004000+00:00,0:00:04.999875,0,0,871,504,0,0
2026-06-09 17:17:55.004000+00:00,0:03:50.000181,0,0,0,0,0,0
2026-06-09 17:17:50.004000+00:00,0:00:04.999901,4,2,1053,1283,0,0
2026-06-09 17:17:45.007000+00:00,0:00:04.997014,0,0,971,472,0,0
2026-06-09 17:17:40.004000+00:00,0:00:05.003016,0,1,243,833,0,10
2026-06-09 17:17:35.004000+00:00,0:00:05.000026,0,2,965,578,0,3
2026-06-09 17:17:30.004000+00:00,0:00:04.999805,0,0,162,359,0,0
2026-06-09 17:07:40.004000+00:00,0:09:50.000164,0,0,0,0,0,0
2026-06-09 17:07:35.004000+00:00,0:00:05.000225,0,1,705,706,0,2
2026-06-09 17:07:30.004000+00:00,0:00:04.999770,0,0,1269,254,0,7
2026-06-09 17:07:25.004000+00:00,0:00:04.999710,0,0,71,112,0,15
2026-06-09 17:07:20.004000+00:00,0:00:05.000293,0,0,257,396,0,0
2026-06-09 17:07:15.004000+00:00,0:00:05.000126,0,1,486,896,0,0
2026-06-09 17:01:45.004000+00:00,0:05:29.999907,0,0,0,0,0,0
2026-06-09 17:01:40.004000+00:00,0:00:04.999390,0,0,640,547,0,0
2026-06-09 17:01:35.004000+00:00,0:00:05.000606,0,0,373,977,0,0
2026-06-09 17:01:30.004000+00:00,0:00:04.999985,0,1,229,192,0,0
2026-06-09 17:01:25.004000+00:00,0:00:05.000016,0,0,460,352,0,9
2026-06-09 17:01:20.004000+00:00,0:00:04.999219,0,2,967,622,0,9
2026-06-09 17:01:15.004000+00:00,0:00:05.000750,0,1,1093,207,0,0
2026-06-09 17:01:10.004000+00:00,0:00:05.000046,0,1,1230,652,0,0
2026-06-09 17:01:05.004000+00:00,0:00:05,0,1,1033,374,0,0
2026-06-09 17:01:00.005000+00:00,0:00:04.998898,0,0,202,274,0,0
2026-06-09 17:00:55.004000+00:00,0:00:05.000826,3,0,0,0,0,0
2026-06-09 17:00:50.004000+00:00,0:00:05.000020,22,0,0,0,0,0
2026-06-09 17:00:45.004000+00:00,0:00:05.000220,0,2,1203,1010,0,0
2026-06-09 17:00:40.004000+00:00,0:00:04.999990,0,1,828,554,0,22
2026-06-09 17:00:35.004000+00:00,0:00:05.000002,0,0,995,377,0,7
2026-06-09 17:00:00.004000+00:00,0:00:35.000217,0,0,0,0,0,0
2026-06-09 16:59:55.004000+00:00,0:00:05.000030,0,0,144,435,0,8
2026-06-09 16:59:50.004000+00:00,0:00:04.999976,0,1,1161,804,0,11
2026-06-09 16:59:40.005000+00:00,0:00:09.998938,0,0,0,0,0,0
2026-06-09 16:59:35.001000+00:00,0:00:05.003533,0,0,551,781,0,0
2026-06-09 16:55:05.004000+00:00,0:04:29.997671,0,0,0,0,0,0
2026-06-09 16:55:00.004000+00:00,0:00:04.999965,0,0,1111,969,0,12
2026-06-09 16:54:55.004000+00:00,0:00:05.000043,1,1,243,612,0,10
